id,method,cue_a,cue_b,expected,pred,success,coarse_visited,fine_steps,runtime_ms,candidates,grid,seed,n_queries
q00027,topogps_no_cue,c1_043,c0_043,bridge_c0_c1,c1_043,0,226,120,9.143,256,1,42,2000
q00028,nn,c1_087,c3_087,bridge_c1_c3,c1_087,0,0,0,0.0062,256,1,42,2000
q00028,minsim,c1_087,c3_087,bridge_c1_c3,bridge_c1_c3,1,0,0,0.0085,256,1,42,2000
q00028,graph_ppr,c1_087,c3_087,bridge_c1_c3,c1_077,0,0,0,3.9869,256,1,42,2000
q00028,topogps,c1_087,c3_087,bridge_c1_c3,c1_077,0,9,120,9.2085,256,1,42,2000
q00028,topogps_cuepath,c1_087,c3_087,bridge_c1_c3,c1_087,0,9,0,1.3887,256,1,42,2000
q00028,topogps_no_cue,c1_087,c3_087,bridge_c1_c3,c1_087,0,178,120,9.0931,256,1,42,2000
q00029,nn,c0_062,c2_062,bridge_c0_c2,c0_062,0,0,0,0.0067,256,1,42,2000
q00029,minsim,c0_062,c2_062,bridge_c0_c2,bridge_c0_c2,1,0,0,0.0108,256,1,42,2000
q00029,graph_ppr,c0_062,c2_062,bridge_c0_c2,c2_089,0,0,0,4.251,256,1,42,2000
q00029,topogps,c0_062,c2_062,bridge_c0_c2,c0_043,0,8,120,10.0929,256,1,42,2000
q00029,topogps_cuepath,c0_062,c2_062,bridge_c0_c2,c0_043,0,8,0,1.5026,256,1,42,2000
q00029,topogps_no_cue,c0_062,c2_062,bridge_c0_c2,c0_062,0,273,120,9.7234,256,1,42,2000
q00030,nn,c3_013,c2_013,bridge_c2_c3,c3_013,0,0,0,0.0109,256,1,42,2000
q00030,minsim,c3_013,c2_013,bridge_c2_c3,bridge_c2_c3,1,0,0,0.0079,256,1,42,2000
q00030,graph_ppr,c3_013,c2_013,bridge_c2_c3,c2_089,0,0,0,4.4416,256,1,42,2000
q00030,topogps,c3_013,c2_013,bridge_c2_c3,bridge_c2_c3,1,8,120,9.1044,256,1,42,2000
q00030,topogps_cuepath,c3_013,c2_013,bridge_c2_c3,bridge_c3_c4,0,8,0,1.3589,256,1,42,2000
q00030,topogps_no_cue,c3_013,c2_013,bridge_c2_c3,c3_013,0,181,120,8.902,256,1,42,2000
q00031,nn,c0_004,c3_004,bridge_c0_c3,c0_004,0,0,0,0.0101,256,1,42,2000
q00031,minsim,c0_004,c3_004,bridge_c0_c3,bridge_c0_c3,1,0,0,0.0112,256,1,42,2000
q00031,graph_ppr,c0_004,c3_004,bridge_c0_c3,c0_010,0,0,0,4.0144,256,1,42,2000
q00031,topogps,c0_004,c3_004,bridge_c0_c3,c0_052,0,6,120,8.8838,256,1,42,2000
q00031,topogps_cuepath,c0_004,c3_004,bridge_c0_c3,bridge_c0_c3,1,6,0,1.1706,256,1,42,2000
q00031,topogps_no_cue,c0_004,c3_004,bridge_c0_c3,c0_004,0,196,120,8.8087,256,1,42,2000
q00032,nn,c0_014,c1_014,bridge_c0_c1,c0_014,0,0,0,0.0068,256,1,42,2000
q00032,minsim,c0_014,c1_014,bridge_c0_c1,bridge_c0_c1,1,0,0,0.0103,256,1,42,2000
q00032,graph_ppr,c0_014,c1_014,bridge_c0_c1,c1_061,0,0,0,3.9521,256,1,42,2000
q00032,topogps,c0_014,c1_014,bridge_c0_c1,bridge_c0_c1,1,8,120,8.8239,256,1,42,2000
q00032,topogps_cuepath,c0_014,c1_014,bridge_c0_c1,c0_043,0,8,0,1.2139,256,1,42,2000
q00032,topogps_no_cue,c0_014,c1_014,bridge_c0_c1,c0_014,0,289,120,9.2513,256,1,42,2000
q00033,nn,c2_116,c4_116,bridge_c2_c4,c2_116,0,0,0,0.0061,256,1,42,2000
q00033,minsim,c2_116,c4_116,bridge_c2_c4,bridge_c2_c4,1,0,0,0.0084,256,1,42,2000
q00033,graph_ppr,c2_116,c4_116,bridge_c2_c4,c2_089,0,0,0,3.9036,256,1,42,2000
q00033,topogps,c2_116,c4_116,bridge_c2_c4,bridge_c2_c4,1,5,120,8.4262,256,1,42,2000
q00033,topogps_cuepath,c2_116,c4_116,bridge_c2_c4,bridge_c2_c4,1,5,0,1.107,256,1,42,2000
q00033,topogps_no_cue,c2_116,c4_116,bridge_c2_c4,c2_116,0,289,120,9.4026,256,1,42,2000
q00034,nn,c1_102,c2_102,bridge_c1_c2,c1_102,0,0,0,0.0072,256,1,42,2000
q00034,minsim,c1_102,c2_102,bridge_c1_c2,bridge_c1_c2,1,0,0,0.0093,256,1,42,2000
q00034,graph_ppr,c1_102,c2_102,bridge_c1_c2,c1_110,0,0,0,3.7192,256,1,42,2000
q00034,topogps,c1_102,c2_102,bridge_c1_c2,bridge_c1_c2,1,7,120,7.3139,256,1,42,2000
q00034,topogps_cuepath,c1_102,c2_102,bridge_c1_c2,bridge_c1_c2,1,7,0,1.0206,256,1,42,2000
q00034,topogps_no_cue,c1_102,c2_102,bridge_c1_c2,c1_102,0,208,120,7.3436,256,1,42,2000
q00035,nn,c0_006,c1_006,bridge_c0_c1,c0_006,0,0,0,0.0052,256,1,42,2000
q00035,minsim,c0_006,c1_006,bridge_c0_c1,bridge_c0_c1,1,0,0,0.0074,256,1,42,2000
q00035,graph_ppr,c0_006,c1_006,bridge_c0_c1,c0_081,0,0,0,3.345,256,1,42,2000
q00035,topogps,c0_006,c1_006,bridge_c0_c1,c0_081,0,7,120,7.3153,256,1,42,2000
q00035,topogps_cuepath,c0_006,c1_006,bridge_c0_c1,bridge_c0_c4,0,7,0,1.1175,256,1,42,2000
q00035,topogps_no_cue,c0_006,c1_006,bridge_c0_c1,c0_006,0,265,120,7.5859,256,1,42,2000
q00036,nn,c1_078,c4_078,bridge_c1_c4,c1_078,0,0,0,0.005,256,1,42,2000
