id,task,method,cue_a,cue_b,expected,pred,success,coarse_visited,fine_steps,runtime_ms,candidates,grid,seed,n_queries
q00032,associative,minsim,c0_014,c1_014,bridge_c0_c1_014,c2_007,0,0,0,0.02,256,1,42,2000
q00032,associative,graph_ppr,c0_014,c1_014,bridge_c0_c1_014,bridge_c0_c1_014,1,0,0,10.0603,256,1,42,2000
q00032,associative,topogps,c0_014,c1_014,bridge_c0_c1_014,bridge_c0_c1_014,1,3,1,0.8286,256,1,42,2000
q00032,associative,topogps_cuepath,c0_014,c1_014,bridge_c0_c1_014,bridge_c0_c1_014,1,3,0,0.485,256,1,42,2000
q00032,associative,topogps_no_cue,c0_014,c1_014,bridge_c0_c1_014,c0_014,0,2500,120,21.5626,256,1,42,2000
q00033,associative,nn,c2_116,c4_116,bridge_c2_c4_116,c2_116,0,0,0,0.0083,256,1,42,2000
q00033,associative,minsim,c2_116,c4_116,bridge_c2_c4_116,c2_108,0,0,0,0.0127,256,1,42,2000
q00033,associative,graph_ppr,c2_116,c4_116,bridge_c2_c4_116,bridge_c2_c4_116,1,0,0,10.0336,256,1,42,2000
q00033,associative,topogps,c2_116,c4_116,bridge_c2_c4_116,bridge_c2_c4_116,1,3,1,0.866,256,1,42,2000
q00033,associative,topogps_cuepath,c2_116,c4_116,bridge_c2_c4_116,bridge_c2_c4_116,1,3,0,0.5422,256,1,42,2000
q00033,associative,topogps_no_cue,c2_116,c4_116,bridge_c2_c4_116,bridge_c2_c3_039,0,2500,120,21.2407,256,1,42,2000
q00034,associative,nn,c1_102,c2_102,bridge_c1_c2_102,c1_102,0,0,0,0.0082,256,1,42,2000
q00034,associative,minsim,c1_102,c2_102,bridge_c1_c2_102,c2_094,0,0,0,0.0129,256,1,42,2000
q00034,associative,graph_ppr,c1_102,c2_102,bridge_c1_c2_102,bridge_c1_c2_102,1,0,0,10.1845,256,1,42,2000
q00034,associative,topogps,c1_102,c2_102,bridge_c1_c2_102,bridge_c1_c2_102,1,3,1,0.8411,256,1,42,2000
q00034,associative,topogps_cuepath,c1_102,c2_102,bridge_c1_c2_102,bridge_c1_c2_102,1,3,0,0.5023,256,1,42,2000
q00034,associative,topogps_no_cue,c1_102,c2_102,bridge_c1_c2_102,bridge_c1_c3_059,0,2500,120,21.416,256,1,42,2000
q00035,associative,nn,c0_006,c1_006,bridge_c0_c1_006,c0_006,0,0,0,0.0083,256,1,42,2000
q00035,associative,minsim,c0_006,c1_006,bridge_c0_c1_006,c4_085,0,0,0,0.013,256,1,42,2000
